Crop Stage,Region,Crop Disease,Cause
Silking,Gondia,Leaf Blight,Fungal infection due to high humidity
Grain Filling,Nagpur,Downy Mildew,Moist soil and cool nights
Vegetative Growth,Buldhana,Downy Mildew,Moist soil and cool nights
Vegetative Growth,Latur,Smut,Soil-borne fungal pathogen
Vegetative Growth,Jalna,Rust,Fungal spores spread by wind
Silking,Nandurbar,Leaf Blight,Fungal infection due to high humidity
Maturation & Harvest,Nandurbar,Leaf Blight,Fungal infection due to high humidity
Germination & Emergence,Solapur,Leaf Blight,Fungal infection due to high humidity
Germination & Emergence,Sindhudurg,Downy Mildew,Moist soil and cool nights
Silking,Dhule,Leaf Blight,Fungal infection due to high humidity
Germination & Emergence,Solapur,Downy Mildew,Moist soil and cool nights
Seedling Stage,Sindhudurg,Downy Mildew,Moist soil and cool nights
Tasseling,Ratnagiri,Smut,Soil-borne fungal pathogen
Silking,Gondia,Downy Mildew,Moist soil and cool nights
Tasseling,Mumbai City,Gray Leaf Spot,High leaf wetness and poor air circulation
Germination & Emergence,Akola,Downy Mildew,Moist soil and cool nights
Maturation & Harvest,Marathwada,Smut,Soil-borne fungal pathogen
Silking,Mumbai Suburban,Downy Mildew,Moist soil and cool nights
Maturation & Harvest,Gadchiroli,Healthy,Optimal growing conditions and good management
Germination & Emergence,Nandurbar,Leaf Blight,Fungal infection due to high humidity
Silking,Marathwada,Smut,Soil-borne fungal pathogen
Grain Filling,Kolhapur,Leaf Spot,Bacterial infection from contaminated soil
Vegetative Growth,Chandrapur,Rust,Fungal spores spread by wind
Germination & Emergence,Mumbai City,Healthy,Optimal growing conditions and good management
Vegetative Growth,Osmanabad,Gray Leaf Spot,High leaf wetness and poor air circulation
Grain Filling,Marathwada,Smut,Soil-borne fungal pathogen
Germination & Emergence,Jalna,Gray Leaf Spot,High leaf wetness and poor air circulation
Maturation & Harvest,Akola,Smut,Soil-borne fungal pathogen
Maturation & Harvest,Gondia,Gray Leaf Spot,High leaf wetness and poor air circulation
Tasseling,Wardha,Leaf Spot,Bacterial infection from contaminated soil
Vegetative Growth,Ahmednagar,Healthy,Optimal growing conditions and good management
Germination & Emergence,Yavatmal,Leaf Spot,Bacterial infection from contaminated soil
Vegetative Growth,Sindhudurg,Gray Leaf Spot,High leaf wetness and poor air circulation
Seedling Stage,Ahmednagar,Leaf Spot,Bacterial infection from contaminated soil
Silking,Mumbai City,Leaf Blight,Fungal infection due to high humidity
Silking,Chandrapur,Smut,Soil-borne fungal pathogen
Germination & Emergence,Thane,Leaf Spot,Bacterial infection from contaminated soil
Grain Filling,Latur,Downy Mildew,Moist soil and cool nights
Silking,Sindhudurg,Healthy,Optimal growing conditions and good management
Grain Filling,Parbhani,Leaf Blight,Fungal infection due to high humidity
Seedling Stage,Latur,Smut,Soil-borne fungal pathogen
Germination & Emergence,Sindhudurg,Rust,Fungal spores spread by wind
Vegetative Growth,Hingoli,Leaf Spot,Bacterial infection from contaminated soil
Tasseling,Dhule,Healthy,Optimal growing conditions and good management
Vegetative Growth,Beed,Leaf Blight,Fungal infection due to high humidity
Seedling Stage,Latur,Rust,Fungal spores spread by wind
Seedling Stage,Solapur,Smut,Soil-borne fungal pathogen
Seedling Stage,Nanded,Downy Mildew,Moist soil and cool nights
Tasseling,Buldhana,Gray Leaf Spot,High leaf wetness and poor air circulation
Silking,Nanded,Downy Mildew,Moist soil and cool nights
Maturation & Harvest,Nanded,Gray Leaf Spot,High leaf wetness and poor air circulation
Grain Filling,Ratnagiri,Gray Leaf Spot,High leaf wetness and poor air circulation
Seedling Stage,Kolhapur,Rust,Fungal spores spread by wind
Seedling Stage,Aurangabad,Gray Leaf Spot,High leaf wetness and poor air circulation
Germination & Emergence,Buldhana,Smut,Soil-borne fungal pathogen
Grain Filling,Raigad,Downy Mildew,Moist soil and cool nights
Germination & Emergence,Wardha,Downy Mildew,Moist soil and cool nights
Seedling Stage,Beed,Healthy,Optimal growing conditions and good management
Seedling Stage,Marathwada,Downy Mildew,Moist soil and cool nights
Grain Filling,Sangli,Downy Mildew,Moist soil and cool nights
Seedling Stage,Raigad,Smut,Soil-borne fungal pathogen
Maturation & Harvest,Jalgaon,Rust,Fungal spores spread by wind
Grain Filling,Mumbai Suburban,Gray Leaf Spot,High leaf wetness and poor air circulation
Vegetative Growth,Hingoli,Smut,Soil-borne fungal pathogen
Maturation & Harvest,Chandrapur,Healthy,Optimal growing conditions and good management
Vegetative Growth,Washim,Leaf Blight,Fungal infection due to high humidity
Vegetative Growth,Ahmednagar,Leaf Spot,Bacterial infection from contaminated soil
Silking,Buldhana,Smut,Soil-borne fungal pathogen
Tasseling,Satara,Gray Leaf Spot,High leaf wetness and poor air circulation
Germination & Emergence,Thane,Leaf Spot,Bacterial infection from contaminated soil
Vegetative Growth,Jalna,Downy Mildew,Moist soil and cool nights
Tasseling,Bhandara,Gray Leaf Spot,High leaf wetness and poor air circulation
Maturation & Harvest,Latur,Healthy,Optimal growing conditions and good management
Silking,Raigad,Rust,Fungal spores spread by wind
Germination & Emergence,Palghar,Healthy,Optimal growing conditions and good management
Germination & Emergence,Chandrapur,Leaf Spot,Bacterial infection from contaminated soil
Grain Filling,Mumbai City,Gray Leaf Spot,High leaf wetness and poor air circulation
Tasseling,Jalgaon,Rust,Fungal spores spread by wind
Silking,Chandrapur,Downy Mildew,Moist soil and cool nights
Tasseling,Yavatmal,Downy Mildew,Moist soil and cool nights
Tasseling,Amravati,Gray Leaf Spot,High leaf wetness and poor air circulation
Seedling Stage,Nandurbar,Gray Leaf Spot,High leaf wetness and poor air circulation
Tasseling,Bhandara,Rust,Fungal spores spread by wind
Vegetative Growth,Dhule,Healthy,Optimal growing conditions and good management
Maturation & Harvest,Dhule,Smut,Soil-borne fungal pathogen
